company_name,trade,ownership_type,ownership_confidence,parent_company_or_notes,city,county,zip,address,phone,website,google_rating,google_reviews,maps_services,license_types,license_type_labels,license_numbers,active_license_count,qualifying_agents_or_licensees,latest_expiration_seen,enrichment_source,data_source
"SOUTHERN POWER & AIR, LLC",HVAC,Independent / Likely Family-Owned (unverified),Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,Titusville,Brevard,32780,"3535 Melrose Ave, Titusville, FL, 32780",,,,,,CAC,Certified Air Conditioning Contractor,CAC1821422,1,"PARRIS, JUSTIN TAYLOR",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
SOUTHERN TROPICS REFRIGERATION AND AIR CONDITIONING INC,HVAC,Independent / Likely Family-Owned (unverified),Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,West Melbourne,Brevard,32904,"8586 Indiana Avenue, West Melbourne, FL, 32904",,,,,,CAC,Certified Air Conditioning Contractor,CAC1814073,1,"MENDOLA, FRANK J",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
SPACE COAST AC LLC,HVAC,Independent / Likely Family-Owned (unverified),Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,Merritt Island,Brevard,32953,"151 Edgewater Way, Merritt Island, FL, 32953",,,,,,CAC,Certified Air Conditioning Contractor,CAC1816107,1,"HESSE, JEROME SHERMAN",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
SPACE COAST COOLING & HEATING INC,HVAC,Independent / Likely Family-Owned (unverified),Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,Titusville,Brevard,32796,"4109  Rolling Hill Drive, Titusville, FL, 32796",,,,,,CAC,Certified Air Conditioning Contractor,CAC058295,1,"STEVENS, DAVID RAY",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
SPACE COAST PLUMBING INC,Plumbing,Independent / Likely Family-Owned (unverified),Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,West Melbourne,Brevard,32912,"Po Box 121770, West Melbourne, FL, 32912",,,,,,CFC,Certified Plumbing Contractor,CFC1425913,1,"STIFFLER, JACOB TODD",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
SPENCER'S AIR CONDITIONING INC,HVAC,Independent / Likely Family-Owned (unverified),Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,Palm Bay,Brevard,32909,"1561 Andrus Ave Se, Palm Bay, FL, 32909",,,,,,CAC,Certified Air Conditioning Contractor,CAC1814233,1,"SPENCER, LESTER ADOLPHUS",08/31/2026,,FL DBPR Construction License Extract (Current + Active)
SPR PLUMBING LLC,Plumbing,Independent / Likely Family-Owned (unverified),Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,Palm Bay,Brevard,32908,"902 Lebaron St Sw, Palm Bay, FL, 32908",,,,,,CFC,Certified Plumbing Contractor,CFC1429960,1,"ROBERTS, SEAN PATRIC",08/31/2026,,FL DBPR Construction License Extract (Current + Active)
STAY COOL HVAC IN FLORIDA LLC,HVAC,Independent / Likely Family-Owned (unverified),Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,Palm Bay,Brevard,32909,"1198 Colonial Ave. Se, Palm Bay, FL, 32909",,,,,,CAC,Certified Air Conditioning Contractor,CAC1822623,1,"ERWIN, TIMOTHY JAY",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
STEVE HOSKINS AIR CONDITIONING,HVAC,Independent / Likely Family-Owned (unverified),Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,Cocoa Beach,Brevard,32931,"408 Carmine Drive, Cocoa Beach, FL, 32931",,,,,,CAC,Certified Air Conditioning Contractor,CAC049321; CAC1822699,2,"GORDON, GARRETT MICHAEL; HOSKINS, STEVEN JOSEPH",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
STICKLE LLC,HVAC,Independent / Likely Family-Owned (unverified),Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,Cocoa,Brevard,32922,"211 Martin St, Cocoa, FL, 32922",,,,,,CAC,Certified Air Conditioning Contractor,CAC1814752,1,"STICKLE, CURTIS BRET",08/31/2026,,FL DBPR Construction License Extract (Current + Active)
SUMMIT FIRE & SECURITY LLC,Plumbing,Independent / Likely Family-Owned (unverified),Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,Melbourne,Brevard,32934,"3133 Skyway Circle Suite 101, Melbourne, FL, 32934",,,,,,CFC,Certified Plumbing Contractor,CFC1429888,1,"SCHULZE, STEVEN DALE JR",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
"SUN CITY AIR, INC.",HVAC,Independent / Likely Family-Owned (unverified),Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,Melbourne,Brevard,32935,"1834 Woodberry Circle, Melbourne, FL, 32935",,,,,,CAC,Certified Air Conditioning Contractor,CAC1819021,1,"SUTTON, KENNETH W",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
SUN PLUMBING,Plumbing,Independent / Likely Family-Owned (unverified),Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,Palm Bay,Brevard,32909,"1348 Devoted St, Palm Bay, FL, 32909",,,,,,CFC,Certified Plumbing Contractor,CFC1431074; CFC1432532,2,"MCWHORTER, PHILLIP; POWELL, NATHANIEL SCOTT",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
SUNSHINE STATE CLIMATE COMFORT LLC,HVAC,Independent / Likely Family-Owned (unverified),Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,Palm Bay,Brevard,32905,"746 Dove Landing Ave, Palm Bay, FL, 32905",,,,,,CAC,Certified Air Conditioning Contractor,CAC1824838,1,"TUERO, YUSMAYKEL",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
SWELL AIR & HEAT,HVAC,Independent / Likely Family-Owned (unverified),Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,Rockledge,Brevard,32955,"4401 Manchester Dr, Rockledge, FL, 32955",,,,,,CAC,Certified Air Conditioning Contractor,CAC1822248,1,"WILDER, ROBERT",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
SYNERGIE AC REPAIR & INSTALLATION MELBOURNE,HVAC,Independent / Likely Family-Owned (unverified),Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,Micco,Brevard,32976,"4608 Lago Vista Drive, Micco, FL, 32976",,,,,,RA,Registered Air Conditioning Contractor,RA13067756,1,"PILEGGI, CHRISTIAN DIEGO",08/31/2027,,FL DBPR Construction License Extract (Current + Active)
T AND T AIR CONDITIONING AND HEATING INC,HVAC,Independent / Likely Family-Owned (unverified),Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,Satellite Beach,Brevard,32937,"746 Sea Palm Court, Satellite Beach, FL, 32937",,,,,,"CAC, RA",Certified Air Conditioning Contractor; Registered Air Conditioning Contractor,CAC1815762; RA13067199,2,"BARKER, TIMOTHY EDMOND; BILLIE, THOMAS ALAN",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
TECAIR,HVAC,Independent / Likely Family-Owned (unverified),Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,Melbourne,Brevard,32934,"5260 Lake Washington Rd, Melbourne, FL, 32934",,,,,,CAC,Certified Air Conditioning Contractor,CAC1814227,1,"STALEY, DEAN CALVIN",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
THE DUMONT GROUP LLC,Plumbing,Independent / Likely Family-Owned (unverified),Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,Palm Bay,Brevard,32909,"738 Cecelia Ave, Palm Bay, FL, 32909",,,,,,CFC,Certified Plumbing Contractor,CFC1433416,1,"DUMONT, DILLAN JAMES",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
"THE GOAT PLUMBING, AIR & ELECTRIC LLC",Plumbing + HVAC,Independent / Likely Family-Owned (unverified),Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,Melbourne Beach,Brevard,32951,"9185 South Highway A1A, Melbourne Beach, FL, 32951",,,,,,"CAC, CFC",Certified Air Conditioning Contractor; Certified Plumbing Contractor,CAC1822447; CFC1432216,2,"VARDIMAN, BRIAN TIMOTHY",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
THE LASCELS' PLUMBING COMPANY OF BREVARD LLC,Plumbing,Independent / Likely Family-Owned (unverified),Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,Cocoa,Brevard,32926,"3815  Us Hwy 1 S Unit #47, Cocoa, FL, 32926",,,,,,RF,Registered Plumbing Contractor,RF11067910,1,"JOHNSON, GREGORY LASCEL",08/31/2027,,FL DBPR Construction License Extract (Current + Active)
THE UNSTOPPERS INC,Plumbing,Independent / Likely Family-Owned (unverified),Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,Melbourne,Brevard,32901,"219 Twin Lakes Road, Melbourne, FL, 32901",,,,,,CFC,Certified Plumbing Contractor,CFC1427622,1,"WEEKLEY, DAVID A",08/31/2026,,FL DBPR Construction License Extract (Current + Active)
THOROUGHBRED HEATING AND AIR LLC,HVAC,Independent / Likely Family-Owned (unverified),Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,Melbourne,Brevard,32904,"2164   Nebula Way Unit 104, Melbourne, FL, 32904",,,,,,CAC,Certified Air Conditioning Contractor,CAC058257,1,"BURROWS, JOHNNY C",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
TIER ONE AIR & HEAT,HVAC,Independent / Likely Family-Owned (unverified),Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,Palm Bay,Brevard,32909,"1427 Van Camp Ave Se, Palm Bay, FL, 32909",,,,,,CAC,Certified Air Conditioning Contractor,CAC1824064,1,"MARTINS, LUIZ GALVAO",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
TOM HOSKINS AIR CONDITIONING INC,HVAC,Independent / Likely Family-Owned (unverified),Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,Cape Canaveral,Brevard,32920,"P.O. Box 238, Cape Canaveral, FL, 32920",,,,,,CAC,Certified Air Conditioning Contractor,CAC050412,1,"HOSKINS, THOMAS JAMES",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
TOM WALKER PLUMBING INC,Plumbing,Independent / Likely Family-Owned (unverified),Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,Cape Canaverl,Brevard,32920,"102 Columbia Dr #101, Cape Canaverl, FL, 32920",,,,,,RF,Registered Plumbing Contractor,RF0046309,1,"WALKER, THOMAS ALLEN",08/31/2027,,FL DBPR Construction License Extract (Current + Active)
"TOMMY RYDER AIR CONDITIONING, LLC",HVAC,Independent / Likely Family-Owned (unverified),Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,Cocoa,Brevard,32923,"Po Box 238111, Cocoa, FL, 32923",,,,,,CAC,Certified Air Conditioning Contractor,CAC1815470,1,"RYDER, THOMAS DOUGLAS",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
TONY'S COOLING & HEATING INC,HVAC,Independent / Likely Family-Owned (unverified),Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,Palm Bay,Brevard,32909,"257 Abello Rd Se Se, Palm Bay, FL, 32909",,,,,,CAC,Certified Air Conditioning Contractor,CAC1817384,1,"SPENCER, ANTHONY G",08/31/2026,,FL DBPR Construction License Extract (Current + Active)
"TOP OF THE HEAP, AC AND HEAT LLC",HVAC,Independent / Likely Family-Owned (unverified),Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,Palm Bay,Brevard,32907,"290 Peake St Ne, Palm Bay, FL, 32907",,,,,,CAC,Certified Air Conditioning Contractor,CAC1815113,1,"ALLEN, MICHAEL JOHN",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
TOTAL BUILDERS LLC,Plumbing,Independent / Likely Family-Owned (unverified),Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,Palm Bay,Brevard,32909,"1115 Cordova St Se, Palm Bay, FL, 32909",,,,,,CFC,Certified Plumbing Contractor,CFC1434309,1,"RITTALL, JOSEPH CLARENCE JR",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
"TOTAL PLUMBING, INC.",Plumbing,Independent / Likely Family-Owned (unverified),Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,Palm Bay,Brevard,32909,"1115 Cordova St Se, Palm Bay, FL, 32909",,,,,,CFC,Certified Plumbing Contractor,CFC1430845; CFC1433483,2,"RITTALL, AMITY; RITTALL, JOSEPH CLARENCE JR",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
TRANE U.S. INC.,HVAC / Mechanical,Independent / Likely Family-Owned (unverified),Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,Melbourne,Brevard,32934,"1512 Abberton Ct, Melbourne, FL, 32934",,,,,,"CAC, CMC",Certified Air Conditioning Contractor; Certified Mechanical Contractor,CAC023485; CAC1814546; CMC1249843; CMC1251872,4,"FRIDLEY, JOSEPH ALAN; LEVINE, MICHAEL A; MELGAREJO, ALDO; WALSH, JOHN KENNETH",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
TRANSCAN MECHANICAL LLC,Plumbing,Independent / Likely Family-Owned (unverified),Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,Malabar,Brevard,32950,"3645 1St Avenue, Malabar, FL, 32950",,,,,,CFC,Certified Plumbing Contractor,CFC1429013,1,"WILLIS, JOHN CLARK III",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
TRAVIS PLUMBING,Plumbing,Independent / Likely Family-Owned (unverified),Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,Cape Canaveral,Brevard,32920,"Po Box 1774, Cape Canaveral, FL, 32920",,,,,,CFC,Certified Plumbing Contractor,CFC1428762,1,"FEELEY, TRAVIS M.",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
TRIPLE CROWN MECHANICAL,Plumbing + HVAC,Independent / Likely Family-Owned (unverified),Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,Palm Bay,Brevard,32909,"1481 Sandusky St Se, Palm Bay, FL, 32909",,,,,,"CAC, CFC, CMC",Certified Air Conditioning Contractor; Certified Mechanical Contractor; Certified Plumbing Contractor,CAC1824525; CFC1433404; CMC1251512,3,"HOOD, BILLY R; WITHERS, NATHANAEL AARON",08/31/2026,,FL DBPR Construction License Extract (Current + Active)
"TRS-SESCO, LLC",Mechanical,Independent / Likely Family-Owned (unverified),Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,Melbourne,Brevard,32940,"6157 Kari Dr, Melbourne, FL, 32940",,,,,,CMC,Certified Mechanical Contractor,CMC1251071,1,"FERIOD, TYLER JAMES",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
TUCKER'S PLUMBING INC,Plumbing,Independent / Likely Family-Owned (unverified),Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,Melbourne,Brevard,32901,"2915 S Harbor City Blvd, Melbourne, FL, 32901",,,,,,RF,Registered Plumbing Contractor,RF0040034,1,"TUCKER, LEON A",08/31/2027,,FL DBPR Construction License Extract (Current + Active)
"TURNER AIR & HEAT, LLC",HVAC,Independent / Likely Family-Owned (unverified),Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,Titusville,Brevard,32780,"680 Karen Drive, Titusville, FL, 32780",,,,,,CAC,Certified Air Conditioning Contractor,CAC1820522,1,"TURNER, JEFFREY A",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
TURTLEY AWESOME COOLING & HEATING LLC,HVAC,Independent / Likely Family-Owned (unverified),Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,West Melbourne,Brevard,32904,"4298 Alligator Flag Cir, West Melbourne, FL, 32904",,,,,,CAC,Certified Air Conditioning Contractor,CAC1820711,1,"KING, MICHAEL ALLAN II",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
VIERA PLUMBING & ELECTRIC LLC,Plumbing,Independent / Likely Family-Owned (unverified),Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,Melbourne,Brevard,32940,"8757 Gansus Place, Melbourne, FL, 32940",,,,,,CFC,Certified Plumbing Contractor,CFC1433923,1,"SAMMARCO, ROBERT ALFRED",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
VINCENT PLUMBING INC,Plumbing,Independent / Likely Family-Owned (unverified),Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,Cocoa,Brevard,32926,"4130  Pine Tree Place, Cocoa, FL, 32926",,,,,,CFC,Certified Plumbing Contractor,CFC056931,1,"VINCENT, GEORGE RUSSELL",08/31/2026,,FL DBPR Construction License Extract (Current + Active)
VINTAGE AIR AND HEAT OF BREVARD LLC,HVAC,Independent / Likely Family-Owned (unverified),Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,Palm Bay,Brevard,32909,"2361 Nutmeg Ln Se, Palm Bay, FL, 32909",,,,,,CAC,Certified Air Conditioning Contractor,CAC1816717,1,"INGO, FRANK GEORGE JR",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
"W-J PLUMBING, INC.",Plumbing,Independent / Likely Family-Owned (unverified),Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,West Melbourne,Brevard,32935,"420 Wickham Rd Suite A, West Melbourne, FL, 32935",,,,,,CFC,Certified Plumbing Contractor,CFC1432910,1,"KITTEL, KEVIN",08/31/2026,,FL DBPR Construction License Extract (Current + Active)
WALKER PLUMBING SERVICES INC,Plumbing,Independent / Likely Family-Owned (unverified),Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,Melbourne,Brevard,32935,"4355 Dow Rd. #122, Melbourne, FL, 32935",,,,,,CFC,Certified Plumbing Contractor,CFC057837,1,"WALKER, LAWRENCE GOTTWELLS III",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
WALLACE AIR CONDITIONING & HEATING INC,HVAC,Independent / Likely Family-Owned (unverified),Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,Indian Harbour Beach,Brevard,32937,"131-16 A  Tomahawk Drive, Indian Harbour Beach, FL, 32937",,,,,,CAC,Certified Air Conditioning Contractor,CAC1814812,1,"WALLACE, PATRICK J",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
WALTERS REFRIGERATION AND AIR CONDITIONING L C,HVAC,Independent / Likely Family-Owned (unverified),Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,Melbourne,Brevard,32904,"700 South John Rodes Blvd Ste C1, Melbourne, FL, 32904",,,,,,CAC,Certified Air Conditioning Contractor,CAC035583,1,"REYNOLDS, GENE B.",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
WATER HEATER MAN OF BREVARD,Plumbing,Independent / Likely Family-Owned (unverified),Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,Grant-Valkaria,Brevard,32950,"3475 Corey Road, Grant-Valkaria, FL, 32950",,,,,,RF,Registered Plumbing Contractor,RF11067497,1,"ROGERS, CLAY W",08/31/2027,,FL DBPR Construction License Extract (Current + Active)
WATER HEATERS PLUS INC,Plumbing,Independent / Likely Family-Owned (unverified),Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,Melbourne,Brevard,32904,"2125 Feast Rd, Melbourne, FL, 32904",,,,,,CFC,Certified Plumbing Contractor,CFC1426517,1,"MILLER, MITCHEL E SR",08/31/2026,,FL DBPR Construction License Extract (Current + Active)
WAYFAIR PLUMBING,Plumbing,Independent / Likely Family-Owned (unverified),Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,Melbourne,Brevard,32940,"2328  Citadel Way Bldg 103, Melbourne, FL, 32940",,,,,,RF,Registered Plumbing Contractor,RF11067964,1,"ESPARZA, ANTHONY",08/31/2027,,FL DBPR Construction License Extract (Current + Active)
WEIRICH AIR,HVAC,Independent / Likely Family-Owned (unverified),Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,Merritt Island,Brevard,32953,"5555 Broad Acres Street, Merritt Island, FL, 32953",,,,,,CAC,Certified Air Conditioning Contractor,CAC1821309,1,"HAVEN, DENNIS LEE",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
"WELLS BOYS BUILDING & CONSTRUCTION, LLC",HVAC,Independent / Likely Family-Owned (unverified),Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,Merritt Island,Brevard,32952-2619,"1775 Monitor Street, Merritt Island, FL, 32952-2619",,,,,,CAC,Certified Air Conditioning Contractor,CAC1815819,1,"HUSTON, HARRY JAMES JR",08/31/2026,,FL DBPR Construction License Extract (Current + Active)
WEND MECHANICAL INC,HVAC,Independent / Likely Family-Owned (unverified),Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,Palm Bay,Brevard,32909,"339 Royal St. Se, Palm Bay, FL, 32909",,,,,,CAC,Certified Air Conditioning Contractor,CAC1813424,1,"DUDA, KENT",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
WILLIAM MILES/B & B PLUMBING SERVICES INC,Plumbing,Independent / Likely Family-Owned (unverified),Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,Melbourne,Brevard,32934,"4150 Pinewood Road, Melbourne, FL, 32934",,,,,,CFC,Certified Plumbing Contractor,CFC1426180,1,"MILES, WILLIAM LAWRENCE",08/31/2026,,FL DBPR Construction License Extract (Current + Active)
WILLIAMS AIR AND HEAT,HVAC,Independent / Likely Family-Owned (unverified),Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,Palm Bay,Brevard,32905,"2510 Kirby Circle Ne 102, Palm Bay, FL, 32905",,,,,,CAC,Certified Air Conditioning Contractor,CAC1823539,1,"WILLIAMS, MEGHAN MARINA",08/31/2026,,FL DBPR Construction License Extract (Current + Active)
"WLS UTILITIES, INC.",Plumbing,Independent / Likely Family-Owned (unverified),Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,Mims,Brevard,32754,"5480 James Ln, Mims, FL, 32754",,,,,,CFC,Certified Plumbing Contractor,CFC1431852,1,"TURNER, PAUL JEFFERY",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
WOODY'S AIR & HEAT INC,HVAC,Independent / Likely Family-Owned (unverified),Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,Melbourne,Brevard,32935,"2851 Laura Baugh Dr, Melbourne, FL, 32935",,,,,,CAC,Certified Air Conditioning Contractor,CAC1815957,1,"WOODBREY, ROBERT SCOTT",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
WYSE CHOICE INC,HVAC,Independent / Likely Family-Owned (unverified),Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,W Melbourne,Brevard,32904,"2381 Arizona St, W Melbourne, FL, 32904",,,,,,CAC,Certified Air Conditioning Contractor,CAC1815283,1,"WYSE, RONALD RICHARD",08/31/2026,,FL DBPR Construction License Extract (Current + Active)
XPERT AIR SOLUTIONS LLC,HVAC,Independent / Likely Family-Owned (unverified),Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,Palm Bay,Brevard,32908,"679 Scotten Ave Sw, Palm Bay, FL, 32908",,,,,,CAC,Certified Air Conditioning Contractor,CAC1821933,1,"STANBACK, THOMAS H III",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
YGC CORP,Plumbing,Independent / Likely Family-Owned (unverified),Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,Palm Bay,Brevard,32907,"462 Addison Ave Ne, Palm Bay, FL, 32907",,,,,,CFC,Certified Plumbing Contractor,CFC1434388,1,"GARCIA MARTINEZ, YISEL",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
ZETHUS HVAC LLC,HVAC,Independent / Likely Family-Owned (unverified),Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,Titusville,Brevard,32796,"2135 Mayfair Way Lot 93, Titusville, FL, 32796",,,,,,CAC,Certified Air Conditioning Contractor,CAC1822806,1,"DIAZ, RAFAEL JOSE",08/31/2026,,FL DBPR Construction License Extract (Current + Active)
1 ST CLASS PLUMBING OF SOUTH FLORIDA INC,Plumbing,Independent / Likely Family-Owned (unverified),Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,Hollywood,Broward,33023,"420 S 62Nd Ave, Hollywood, FL, 33023",,,,,,CFC,Certified Plumbing Contractor,CFC1431259,1,"TELLERIA, EDUARDO",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
1 STOP GAS SERVICE INC.,Plumbing,Independent / Likely Family-Owned (unverified),Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,Pembroke Pines,Broward,33023,"6840 Sw 12Th St, Pembroke Pines, FL, 33023",,,,,,CFC,Certified Plumbing Contractor,CFC1432419,1,"COLLADO, MARLENE LILI",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
101 PRIME SOLUTION LLC,HVAC,Independent / Likely Family-Owned (unverified),Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,Coconut Creek,Broward,33063,"904 Banks Row, Coconut Creek, FL, 33063",,,,,,CAC,Certified Air Conditioning Contractor,CAC1825138,1,"FRITIS, EDWARD CHRISTOPHER",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
1A COOLING CONTROL LLC,HVAC,Independent / Likely Family-Owned (unverified),Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,Hollywood,Broward,33024,"7831 Raleigh Street, Hollywood, FL, 33024",,,,,,CAC,Certified Air Conditioning Contractor,CAC1820021,1,"MONTERO, RAMON ARMANDO SR",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
1A FLORIDA PLUMBING INC,Plumbing,Independent / Likely Family-Owned (unverified),Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,Plantation,Broward,33322,"8961 Nw 12Th Place, Plantation, FL, 33322",,,,,,CFC,Certified Plumbing Contractor,CFC1428753,1,"PANEQUE, JORGE J",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
1ST CLASS COMMERCIAL SERVICES LLC,HVAC,Independent / Likely Family-Owned (unverified),Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,Coral Springs,Broward,33065,"3700 Nw 78Th Ln, Coral Springs, FL, 33065",,,,,,CAC,Certified Air Conditioning Contractor,CAC1820585; CAC1821168,2,"BARTON, JERMAINE",08/31/2026,,FL DBPR Construction License Extract (Current + Active)
1ST RESPONSE PLUMBING INC,Plumbing,Independent / Likely Family-Owned (unverified),Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,Fort Lauderdale,Broward,33312,"378  East Dayton Circle, Fort Lauderdale, FL, 33312",,,,,,CFC,Certified Plumbing Contractor,CFC1427262,1,"JOHNSON, CHETWOOD FITZGERALD",08/31/2026,,FL DBPR Construction License Extract (Current + Active)
