company_name,trade,ownership_type,ownership_confidence,parent_company_or_notes,city,county,zip,address,phone,website,google_rating,google_reviews,maps_services,license_types,license_type_labels,license_numbers,active_license_count,qualifying_agents_or_licensees,latest_expiration_seen,enrichment_source,data_source
WILLIAMS AND SON AIR CONDITIONING CORP,HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Miami,Miami-Dade,33170,"23005 Sw 123Rd Ct, Miami, FL, 33170",,,,,,CAC,Certified Air Conditioning Contractor,CAC1816926,1,"CASTILLO, CARLOS A",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
BARRY BROTHERS MECHANICAL LLC,HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Callahan,Nassau,32011,"44866  Artesian Blvd, Callahan, FL, 32011",,,,,,CAC,Certified Air Conditioning Contractor,CAC1821725,1,"BARRY, MICHAEL STEPHEN",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
"BUSH AND SON HEAT & AIR, INC.",HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Shalimar,Okaloosa,32579,"86  Catamaran Ln, Shalimar, FL, 32579",,,,,,CAC,Certified Air Conditioning Contractor,CAC1817464,1,"BUSH, MARK",08/31/2026,,FL DBPR Construction License Extract (Current + Active)
BROTHERS AIR,HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Okeechobee,Okeechobee,34972,"3573 Nw 18Th Ave, Okeechobee, FL, 34972",,,,,,CAC,Certified Air Conditioning Contractor,CAC1821439,1,"BARNES, WESLEY PAUL",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
DANIELS & SON INC,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Okeechobee,Okeechobee,34974,"314 Sw 2Nd St, Okeechobee, FL, 34974",,,,,,RF,Registered Plumbing Contractor,RF0042135,1,"DANIELS, LEONARD E JR",08/31/2027,,FL DBPR Construction License Extract (Current + Active)
ADAMS AND SON PLUMBING SERVICE,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Orlando,Orange,32817,"9786 Lake Georgia Drive, Orlando, FL, 32817",,,,,,CFC,Certified Plumbing Contractor,CFC057533; CFC1429435,2,"ADAMS, CHANDLER RHEA; ADAMS, MARSHALL GOODE",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
"BENNETT AND SONS AIR CONDITIONING, LLC.",HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Apopka,Orange,32712,"6412 Lake Lerla Drive, Apopka, FL, 32712",,,,,,CAC,Certified Air Conditioning Contractor,CAC051508,1,"BENNETT, HARRY WALTER JR",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
DAVIS BROTHERS PLUMBING L.L.C.,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Orlando,Orange,32804,"207 W  Orlando  Street, Orlando, FL, 32804",,,,,,CFC,Certified Plumbing Contractor,CFC1433833; CFC1433848,2,"DAVIS, ZACK AUSTIN; DAVIS, ZANE T",08/31/2026,,FL DBPR Construction License Extract (Current + Active)
DICK BRINK & SON LLC,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Orlando,Orange,32804,"1347 Cumbie St, Orlando, FL, 32804",,,,,,RF,Registered Plumbing Contractor,RF0040012,1,"BRINK, RICHARD O",08/31/2027,,FL DBPR Construction License Extract (Current + Active)
FATHER AND SON AIR CONDITIONING AND DUCT INC.,HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Orlando,Orange,32805,"2407 Sea Breeze Court, Orlando, FL, 32805",,,,,,CAC,Certified Air Conditioning Contractor,CAC1823678,1,"VENTRESCA, JON LUKE",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
"MATHIS & SONS AIR AND HEATING, LLC.",HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Orlando,Orange,32859,"Po Box 593226, Orlando, FL, 32859",,,,,,CAC,Certified Air Conditioning Contractor,CAC1818734,1,"MATHIS, STEVEN T",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
RAYA & SONS LLC,HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Apopka,Orange,32712,"1609 Valeview Ct, Apopka, FL, 32712",,,,,,CAC,Certified Air Conditioning Contractor,CAC1824258,1,"RAYA, ALBERTO JUAN",08/31/2026,,FL DBPR Construction License Extract (Current + Active)
BAEZ & SON AIR CONDITION & HEATING LLC,HVAC / Mechanical,Family-Owned,Pattern match,Name/marketing indicates family ownership,Saint Cloud,Osceola,34772,"212 Pink Ibis Bend, Saint Cloud, FL, 34772",,,,,,"CAC, CMC",Certified Air Conditioning Contractor; Certified Mechanical Contractor,CAC1823925; CMC1251747,2,"BAEZ RAMOS, MELVIN",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
DAVE & SONS HVAC SERVICES LLC,HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Kissimmee,Osceola,34746,"2660 Star Grass Circle, Kissimmee, FL, 34746",,,,,,CAC,Certified Air Conditioning Contractor,CAC1823648,1,"SAMLALL, KISHAN",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
"GIBSON & SONS, LLC",HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Celebration,Osceola,34747,"1400 Celebration Ave. Unit 103, Celebration, FL, 34747",,,,,,CAC,Certified Air Conditioning Contractor,CAC1819424,1,"GIBSON, JOHN MACLEAN SR",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
ALFRED A BRIAND JR & SONS CONTRACTORS INC,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Deland,Out of State,32724,"1705 Magnolia Avenue, Deland, FL, 32724",,,,,,CFC,Certified Plumbing Contractor,CFC1426234,1,"BRIAND, ALFRED ARTHUR JR",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
B-MAC AND SON PLUMBING LLC,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Ormond Beach,Out of State,32174,"110 Greenbriar Ave, Ormond Beach, FL, 32174",,,,,,CFC,Certified Plumbing Contractor,CFC1428115,1,"PRATER, JASON ROY",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
"BRINSON & SONS HEATING & AIR, INC.",Mechanical,Family-Owned,Pattern match,Name/marketing indicates family ownership,Rocky Point,Out of State,28457,"206 Scott Rd, Rocky Point, NC, 28457",,,,,,CMC,Certified Mechanical Contractor,CMC1251361,1,"BRINSON, GREGORY SCOTT",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
BROTHERS HVAC INCORPORATED,HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Beavercreek,Out of State,45432,"3050 Stardus STARDUST DRIVE, Beavercreek, OH, 45432",,,,,,CAC,Certified Air Conditioning Contractor,CAC1821633,1,"THOMAS, SCOTT ALLEN",08/31/2026,,FL DBPR Construction License Extract (Current + Active)
CLARENCE E LUTZ & SONS,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,New Smyrna Bc,Out of State,32168,"830 Canal Street, New Smyrna Bc, FL, 32168",,,,,,RF,Registered Plumbing Contractor,RF0038702,1,"LUTZ, TERRY P",08/31/2027,,FL DBPR Construction License Extract (Current + Active)
CROWE & SONS INC,HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Tionesta,Out of State,16353,"181 mascaro MASCARO LN, Tionesta, PA, 16353",,,,,,CAC,Certified Air Conditioning Contractor,CAC057685,1,"CROWE, MICHAEL LUCAS",08/31/2026,,FL DBPR Construction License Extract (Current + Active)
FATHER AND SON PLUMBING,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Seaford,Out of State,11783,"3971 Darby Lane, Seaford, NY, 11783",,,,,,CFC,Certified Plumbing Contractor,CFC1433358,1,"PASTENA, LORENZO",08/31/2026,,FL DBPR Construction License Extract (Current + Active)
"HUGHES BROTHERS PLUMBING COMPANY, INC.",Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Byhalia,Out of State,38611,"99 Hughes Dr, Byhalia, MS, 38611",,,,,,CFC,Certified Plumbing Contractor,CFC1430072,1,"WALDROP, LARRY ROLAND JR",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
LATOW BROTHERS PLUMBING INC,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Orange City,Out of State,32763,"180 West Blue Springs Ave, Orange City, FL, 32763",,,,,,CFC,Certified Plumbing Contractor,CFC057023; CFC057024,2,"LATOW, DARRIN R; LATOW, DENNIS GEORGE",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
R L VOIGHT & SON LLC,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Kensington,Out of State,20895,"3923 Plyers Mill Road, Kensington, MD, 20895",,,,,,CFC,Certified Plumbing Contractor,CFC1428155,1,"SEYMOUR, JOHN LESTER",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
"RAY AND SON HEATING AND AIR CONDITIONING, INC.",Plumbing + HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Hazlehurst,Out of State,31539,"221 Kirkland Still Rd, Hazlehurst, GA, 31539",,,,,,"CFC, CMC",Certified Mechanical Contractor; Certified Plumbing Contractor,CFC1427094; CFC1432665; CMC1249672,3,"DEAN, DARRYL E; RAY, SETH A; STONE, MICHAEL LAMAR",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
"REYNALDS BROTHERS, LLC",Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Carrollton,Out of State,30117,"555   Columbia Dr, Carrollton, GA, 30117",,,,,,CFC,Certified Plumbing Contractor,CFC1430898,1,"REYNALDS, JOSHUA CALEB",08/31/2026,,FL DBPR Construction License Extract (Current + Active)
S D CHURCH & SONS INC,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Santa Rosa Beach,Out of State,32459,"166 F  Crossing Lane, Santa Rosa Beach, FL, 32459",,,,,,CFC,Certified Plumbing Contractor,CFC1425643,1,"CHURCH, STEVEN DWIGHT",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
SHAMBAUGH & SON LP,Mechanical,Family-Owned,Pattern match,Name/marketing indicates family ownership,Fort Wayne,Out of State,46825,"7614 Opportunity Drive, Fort Wayne, IN, 46825",,,,,,CMC,Certified Mechanical Contractor,CMC1249890,1,"MEYERS, PAUL RICHARD JR",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
"SHAPIRO & SONS, INC.",Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Lillian,Out of State,36549,"8915 Scotts Lane, Lillian, AL, 36549",,,,,,CFC,Certified Plumbing Contractor,CFC1432334,1,"SHAPIRO, KEITH ANTHONY",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
"SWIFT BROTHERS PLUMBING, HEATING & AIR LLC",Plumbing + HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Raleigh,Out of State,27675,"Po Box 90788, Raleigh, NC, 27675",,,,,,"CAC, CFC",Certified Air Conditioning Contractor; Certified Plumbing Contractor,CAC053238; CAC1816851; CAC1824075; CFC1430933; CFC1433007,5,"CONVERSE, JAYSON PAUL; DAS, SUBAL; JERECZEK, DAVID ARTHUR; PRESSON, ALLEN NEWTON",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
"ZEFI & SONS MECHANICAL, INC.",Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Hawthorne,Out of State,10532,"379 Fort Washington Ave, Hawthorne, NY, 10532",,,,,,CFC,Certified Plumbing Contractor,CFC1431662,1,"ZEFI, JOHN LUKE",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
"A & S & SONS, LLC",HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,West Palm Beach,Palm Beach,33411,"13705 46 Ct  N, West Palm Beach, FL, 33411",,,,,,CAC,Certified Air Conditioning Contractor,CAC1818939,1,"EILAND, MICHAEL ALBERT",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
"AC BROTHERS.COM, INC",HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,West Palm Beach,Palm Beach,33411,"12435 Persimmon Blvd, West Palm Beach, FL, 33411",,,,,,CAC,Certified Air Conditioning Contractor,CAC1819835,1,"GALVAN GONZALEZ, RICARDO",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
"AGRUSA & SONS CONTRACTING, INC.",Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,North Palm Beach,Palm Beach,33408,"1116 Marine Way West Unit # C-4R, North Palm Beach, FL, 33408",,,,,,CFC,Certified Plumbing Contractor,CFC1430107; CFC1433478,2,"AGRUSA, ANTHONY F; AGRUSA, LOUIS SALVATORE",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
ALTMAN BROTHERS LLC,HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Palm Beach Gardens,Palm Beach,33403,"8625 Burma Road, Palm Beach Gardens, FL, 33403",,,,,,CAC,Certified Air Conditioning Contractor,CAC033567,1,"ALTMAN, BRIAN K",08/31/2026,,FL DBPR Construction License Extract (Current + Active)
"ARCHER AND SON, LLC",Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Royal Palm Beach,Palm Beach,33411-4958,"100 Peppertree Crescent, Royal Palm Beach, FL, 33411-4958",,,,,,CFC,Certified Plumbing Contractor,CFC1431076,1,"FUENTES, KEVIN ANTHONY",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
"ARNOLD BROTHERS, INC.",HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Lake Worth,Palm Beach,33467,"6867 Lake Island Drive, Lake Worth, FL, 33467",,,,,,CAC,Certified Air Conditioning Contractor,CAC1818520,1,"ARNOLD, EDWARD",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
"BRUNET BROTHERS CONSTRUCTION, CORP",Plumbing + HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,West Palm Beach,Palm Beach,33415,"5938 Purdy Lane, West Palm Beach, FL, 33415",,,,,,"CAC, CFC",Certified Air Conditioning Contractor; Certified Plumbing Contractor,CAC1825088; CFC1430197,2,"BRUNET, CARLOS YENYIS",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
"CALLAWAY & SONS AIR CONDITIONING, INC. DBA SHERIDAN AIR COND.",HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Boca Raton,Palm Beach,33432,"1199 Nw 6 Ave, Boca Raton, FL, 33432",,,,,,CAC,Certified Air Conditioning Contractor,CAC039656,1,"DISTLER, WILLIAM HENRY",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
CATOE & SON PLUMBING INC,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Riviera Beach,Palm Beach,33407,"7261 Haverhill Business Parkway, Riviera Beach, FL, 33407",,,,,,CFC,Certified Plumbing Contractor,CFC057874,1,"CATOE, WARREN RAY",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
SANDEEN & SONS MECHANICAL INC,Mechanical,Family-Owned,Pattern match,Name/marketing indicates family ownership,Loxahatchee,Palm Beach,33470,"17929 Orange Blvd, Loxahatchee, FL, 33470",,,,,,CMC,Certified Mechanical Contractor,CMC056964,1,"SANDEEN, WILLARD IRVIN JR",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
WRIGHT BROTHERS CONTRACTING SERVICES INC.,Plumbing + HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Palm Beach Gardens,Palm Beach,33418,"8203 Forego Road, Palm Beach Gardens, FL, 33418",,,,,,"CAC, CFC, CMC",Certified Air Conditioning Contractor; Certified Mechanical Contractor; Certified Plumbing Contractor,CAC1815903; CFC1429171; CMC1250440,3,"KYI, ALEX YIN",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
BENJAMIN BROTHERS,HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Port Richey,Pasco,34673,"Po Box 898, Port Richey, FL, 34673",,,,,,CAC,Certified Air Conditioning Contractor,CAC1813403,1,"BENJAMIN, DOUGLAS LAWRENCE JR",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
BROTHERS AIR CONDITIONING,HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Wesley Chapel,Pasco,33545,"30746 Birdhouse Dr, Wesley Chapel, FL, 33545",,,,,,CAC,Certified Air Conditioning Contractor,CAC1824668,1,"SASS, RYAN DONOVAN",08/31/2026,,FL DBPR Construction License Extract (Current + Active)
"BROTHERS AIR COOLING AND HEATING, INC",HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,New Port Richey,Pasco,34655,"4934 Deer Lodge Rd, New Port Richey, FL, 34655",,,,,,CAC,Certified Air Conditioning Contractor,CAC1818947,1,"MUSACCHIA, JOHN DANIEL",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
CARSON & SONS PLUMBING LLC,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,New Port Richey,Pasco,34654,"7641  Propsect Hill Circle, New Port Richey, FL, 34654",,,,,,CFC,Certified Plumbing Contractor,CFC1433099,1,"CARSON, JAMES",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
MCWILLIAMS & SON INC,HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Port Richey,Pasco,34668,"6211 Springer Dr, Port Richey, FL, 34668",,,,,,CAC,Certified Air Conditioning Contractor,CAC1814314,1,"MCWILLIAMS, GILBERT LEE JR",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
FATHER & SONS A/C & HEATING INC,HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,St Petersburg,Pinellas,33709,"8095 46Th Ave N, St Petersburg, FL, 33709",,,,,,CAC,Certified Air Conditioning Contractor,CAC057060,1,"SCHNEIDER, RICHARD KEVIN",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
J RAY & SONS AIR CONDITIONING INC,HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Saint Petersburg,Pinellas,33702,"6701 22 Street North, Saint Petersburg, FL, 33702",,,,,,CAC,Certified Air Conditioning Contractor,CAC1815028,1,"RAY, JOHN THOMAS",08/31/2026,,FL DBPR Construction License Extract (Current + Active)
NORMAN BROTHERS PLUMBING LLC,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Clearwater,Pinellas,33764,"1467 Hunter Lane, Clearwater, FL, 33764",,,,,,CFC,Certified Plumbing Contractor,CFC1431062,1,"NORMAN, DAVID LLOYD",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
R J LANGE & SON INC,HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Ozona,Pinellas,34660,"P O Box 206, Ozona, FL, 34660",,,,,,CAC,Certified Air Conditioning Contractor,CAC042744,1,"LANGE, SCOTT RICHARD",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
"ROJAS & SONS BUILDING SERVICES, INC.",HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Dunedin,Pinellas,34697,"P.O. Box 32, Dunedin, FL, 34697",,,,,,CAC,Certified Air Conditioning Contractor,CAC1818925,1,"ROJAS, FABIAN A",08/31/2026,,FL DBPR Construction License Extract (Current + Active)
BEARDED BROTHERS AIR CONDITIONING LLC,HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Lakeland,Polk,33809,"5337 North Socrum Loop Road 228, Lakeland, FL, 33809",,,,,,CAC,Certified Air Conditioning Contractor,CAC1820122,1,"LOVELACE, JAMES OLIVER",08/31/2026,,FL DBPR Construction License Extract (Current + Active)
EICHENBERGER AND SON INC,HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Lakeland,Polk,33811,"4015 Sugar Creek Ln., Lakeland, FL, 33811",,,,,,CAC,Certified Air Conditioning Contractor,CAC036908,1,"EICHENBERGER, TIMOTHY P",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
FROST & FLUSH BROTHERS INC,Plumbing + HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Bartow,Polk,33830,"7755 Star Lake Road, Bartow, FL, 33830",,,,,,"CAC, CFC",Certified Air Conditioning Contractor; Certified Plumbing Contractor,CAC1823691; CFC1434296,2,"DIFRANCESCO, JAMIE LEE; HARTWELL, RICKY JAMES",08/31/2026,,FL DBPR Construction License Extract (Current + Active)
MATHES AND SON PLUMBING INC,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Winter Haven,Polk,33880,"11 Hurst Road, Winter Haven, FL, 33880",,,,,,CFC,Certified Plumbing Contractor,CFC1429340,1,"MATHES, DAVID CHAD",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
RIDEOUT & SONS A/C & HEATING INC,HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Lakeland,Polk,33801,"508 N Ingraham Ave, Lakeland, FL, 33801",,,,,,CAC,Certified Air Conditioning Contractor,CAC053232,1,"RIDEOUT, CHARLES BRADLEY",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
RYALS BROTHERS INC,HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Lakeland,Polk,33811,"3897 Whistlewood Circle, Lakeland, FL, 33811",,,,,,CAC,Certified Air Conditioning Contractor,CAC056846,1,"CROFT, CARLTON REECE",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
SPRINGER BROTHERS AIR CONDITIONING AND HEATING,HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Auburndale,Polk,33823,"412 Dixie Highway, Auburndale, FL, 33823",,,,,,CAC,Certified Air Conditioning Contractor,CAC1817503,1,"BLASCHKE, JAMES N",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
WRIGHT BROTHERS DISCOUNT AIR INC,HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Palatka,Putnam,32177-8309,"180 Buffalo Bluff Road, Palatka, FL, 32177-8309",,,,,,CAC,Certified Air Conditioning Contractor,CAC1814646,1,"WRIGHT, JIMMY KIM",08/31/2026,,FL DBPR Construction License Extract (Current + Active)
CARTER & SONS SEPTIC TANK SERVICE,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Milton,Santa Rosa,32570,"6642 Trammel Drive, Milton, FL, 32570",,,,,,CFC,Certified Plumbing Contractor,CFC1432123,1,"KIMMONS, DANNY RAY",08/31/2026,,FL DBPR Construction License Extract (Current + Active)
KIMMONS AND SONS PLUMBING AND GAS LLC.,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Milton,Santa Rosa,32570,"6642 Trammel Drive, Milton, FL, 32570",,,,,,"CFC, RF",Certified Plumbing Contractor; Registered Plumbing Contractor,CFC1429628; RF11067992,2,"KIMMONS, DANNY RAY; KIMMONS, JUSTIN RAY",08/31/2027,,FL DBPR Construction License Extract (Current + Active)
BISHOP BROTHERS AIR CONDITIONING,HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,North Port,Sarasota,34286,"2650 Crane Ave, North Port, FL, 34286",,,,,,CAC,Certified Air Conditioning Contractor,CAC1825119,1,"MCNAMARA, ALLEN B",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
JOHNSON & SONS PLUMBING LLC,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Sarasota,Sarasota,34235,"1770 White Orchid Court, Sarasota, FL, 34235",,,,,,CFC,Certified Plumbing Contractor,CFC1432439,1,"JOHNSON, STEVEN LEWIS",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
PARDO & SON BATHROOM REMODELING INC,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Casselberry,Seminole,32707,"171  N Cypress Way Suite 100, Casselberry, FL, 32707",,,,,,CFC,Certified Plumbing Contractor,CFC1425999,1,"PARDO, JOHN III",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
ALDRIDGE & SONS PLUMBING CONTRACTORS INC,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,St. Johns,St. Johns,32259,"1236 Fruit Cove Drive North, St. Johns, FL, 32259",,,,,,CFC,Certified Plumbing Contractor,CFC1426235,1,"ALDRIDGE, WILLIAM T",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
GAUSE AND SONS PLUMBING COMPANY,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,St.Johns,St. Johns,32259,"178  Edisto Place, St.Johns, FL, 32259",,,,,,CFC,Certified Plumbing Contractor,CFC1428444,1,"GAUSE, GREGORY K",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
"WRIGHT BROTHERS HEATING AND AIR CONDITIONING, LLC",HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,St. Augustine,St. Johns,32086,"2649 Isabella Ave, St. Augustine, FL, 32086",,,,,,CAC,Certified Air Conditioning Contractor,CAC1824035,1,"WRIGHT, AUSTIN KYLE",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
BLACKWELL & SONS AIR CONDITIONING AND HEATING LLC,HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Fort Pierce,St. Lucie,34946,"317 Saint Lucie Ln, Fort Pierce, FL, 34946",,,,,,CAC,Certified Air Conditioning Contractor,CAC1816791,1,"BLACKWELL, MARK EDWARD",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
JOSEPH AND SON PLUMBING LLC,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Fort Pierce,St. Lucie,34945,"11546 Okeechobee Road, Fort Pierce, FL, 34945",,,,,,CFC,Certified Plumbing Contractor,CFC1432003,1,"MEFFORD, JOSEPH HINTON",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
LANGEL BROTHERS HEATING AND COOLING INC,HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Port St Lucie,St. Lucie,34983,"5475 Nw St. James Dr Suite 223, Port St Lucie, FL, 34983",,,,,,CAC,Certified Air Conditioning Contractor,CAC1822961,1,"LANGEL, PHILLIP PATRICK",08/31/2026,,FL DBPR Construction License Extract (Current + Active)
OSCAR & SONS AIR CONDITIONING INC,HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Fort Pierce,St. Lucie,34948,"Po Box 3084, Fort Pierce, FL, 34948",,,,,,CAC,Certified Air Conditioning Contractor,CAC1821675,1,"JIMENEZ, OSCAR III",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
BAKER & SONS AIR CONDITIONING INC,HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,,Unknown,,,,,,,,CAC,Certified Air Conditioning Contractor,CAC1813986,1,"BAKER, WILLIAM DAVID",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
BRINGAS AND SONS INC,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,,Unknown,,,,,,,,CFC,Certified Plumbing Contractor,CFC1430461,1,"BRINGAS, RAUL JR.",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
C. R. MEYER AND SONS COMPANY,Plumbing + HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Hudsonville,Unknown,49426,"5736 Cory Dr, Hudsonville, MI, 49426",,,,,,"CFC, CMC",Certified Mechanical Contractor; Certified Plumbing Contractor,CFC1429362; CMC1250154,2,"CAVADEAS, GEORGE FRANCIS",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
"HIGGINBOTHAM BROTHERS CONSTRUCTION, INC",HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,,Unknown,,,,,,,,CAC,Certified Air Conditioning Contractor,CAC1823438,1,"HIGGINBOTHAM, BRYAN LEE",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
JONES & SONS PLUMBING AND AIR INC,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Fitzgerald,Unknown,31750,"289 Locust Rd, Fitzgerald, GA, 31750",,,,,,CFC,Certified Plumbing Contractor,CFC1431854,1,"KELLOW, ROBERT EUGENE",08/31/2026,,FL DBPR Construction License Extract (Current + Active)
